Fecha_Hecho;Delito;Categoria_Delito;Competencia
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ABUSO SEXUAL;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ABUSO SEXUAL;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA;DELITO DE BAJO IMPACTO;FUERO COMUN
2021-02-05;VIOLENCIA FAMILIAR;DELITO DE BAJO IMPACTO;FUERO COMUN
